"stk","alpha","beta0","beta1","beta2","beta3","sigma","deviance"
1,1.924,0.5147,3.441,2.31,0.9661,0.8744,-100.7
1,1.908,1.211,2.384,2.683,0.1651,0.8467,-101.1
1,1.664,0.6344,2.384,2.072,1.219,0.6781,-101.7
1,1.862,1.828,3.99,1.79,0.169,0.7279,-104.2
1,1.597,1.344,2.295,0.4762,0.763,0.8116,-103.9
1,1.974,0.7303,2.563,3.154,1.598,0.771,-100.2
1,1.732,0.5795,3.961,0.747,0.1998,0.6574,-98.79
1,1.93,3.351,2.59,2.534,0.9656,0.7822,-99.15
1,1.9,1.472,2.294,2.784,0.7516,0.8105,-103.2
1,1.887,1.362,2.532,1.758,1.114,0.7091,-106
1,1.869,2.137,2.69,1.736,0.2587,0.7002,-105.8
1,2.21,1.03,4.643,4.38,0.2241,0.9578,-87.32
1,1.812,0.6604,3.252,1.467,0.8708,0.7616,-104.9
1,1.816,2.351,1.654,1.364,1.418,0.6902,-103.4
1,1.335,0.8637,0.4752,1.093,0.2077,0.8272,-97.84
1,2.012,1.318,2.365,2.878,0.7459,0.7491,-101.5
1,1.734,1.821,2.669,0.1973,0.5255,0.7156,-103.6
1,1.621,0.5828,2.78,1.215,0.7042,0.6637,-103.3
1,2.044,1.205,3.05,2.17,0.9094,0.7293,-102.5
1,1.864,1.765,3.226,0.2361,2.125,0.7384,-98.88
1,1.725,1.332,2.487,1.938,0.4994,0.8828,-102.8
1,1.695,0.8461,3.41,1.112,0.6428,0.8026,-104.2
1,1.61,0.6162,1.569,1.761,1.374,0.6563,-99.71
1,1.916,0.8713,2.06,2.78,1.259,0.6769,-100.4
1,2.038,1.506,3.797,2.054,1.646,0.8673,-100.8
1,1.608,1.362,3.006,1.493,0.338,0.6876,-103.4
1,1.925,1.655,3.948,1.355,0.6568,0.7498,-104.8
1,1.883,1.359,3.205,1.36,1.468,0.6694,-103.8
1,1.741,1.96,1.616,0.6078,1.433,0.7444,-103.2
1,1.996,1.525,2.965,2.853,1.244,0.759,-103.3
1,1.859,1.551,3.091,1.044,1.152,0.7329,-105.8
1,1.918,1.086,3.215,2.585,0.4455,0.7549,-104.1
1,2.203,1.846,3.103,2.619,1.202,0.8435,-99.12
1,1.528,1.264,1.457,0.8037,0.4703,0.7516,-104.1
1,2.036,2.918,3.547,2.532,0.484,0.7054,-101
1,1.556,0.5467,1.139,0.2703,1.86,0.6823,-94.36
1,1.704,1.846,1.856,2.257,1.275,0.6702,-99.61
1,1.996,2.687,2.448,1.099,0.5625,0.8339,-101
1,2.23,2.18,2.711,2.607,1.541,0.8677,-97.82
1,1.663,1.472,1.264,2.312,0.7861,0.7528,-102.4
1,1.565,0.8715,2.123,0.8504,0.4615,0.732,-105.1
1,1.768,0.8516,2.169,2.274,0.4533,0.7261,-104.7
1,2.029,2.632,3.624,2.096,0.09189,0.9464,-97.65
1,1.738,1.825,2.924,0.975,0.1751,0.5796,-98.47
1,1.731,0.713,1.825,1.493,0.5294,0.7407,-103.9
1,1.983,0.5372,3.086,1.679,0.3468,0.7207,-96.94
1,1.802,0.7884,2.452,1.636,0.482,0.7874,-104.5
1,1.625,0.9888,1.948,0.3264,1.449,0.7202,-101.7
1,1.774,1.544,2.951,1.244,0.4314,0.8812,-103.3
1,1.684,0.8328,2.437,2.633,0.4406,0.7894,-102.7
1,1.817,3.153,2.16,2.949,0.9476,0.9005,-93.3
1,1.851,0.7908,3.092,1.894,0.3271,0.6402,-101.7
1,1.69,1.83,1.344,1.194,1.756,0.6754,-100.4
1,1.661,1.364,1.544,1.851,0.8759,0.7755,-104.5
1,1.991,2.513,2.326,0.9758,2.87,0.8011,-97.35
1,1.642,0.6304,1.527,0.9987,1.069,0.7706,-103
1,1.974,2.622,2.968,3.569,1.087,0.8867,-94.28
1,1.613,1.265,2.748,1.444,0.3541,0.7905,-105
1,1.693,0.7902,3.212,0.5593,1.71,0.7876,-100.4
1,1.566,1.439,1.411,1.082,0.3031,0.7041,-104
1,1.529,0.9097,3.395,1.938,0.2345,0.7103,-97.06
1,2.052,0.9642,4.94,1.814,0.9813,0.929,-95.52
1,2.056,2.351,2.927,3.126,0.6515,0.8509,-100
1,1.711,0.8378,2.573,1.555,0.2172,0.7629,-105.8
1,1.667,2.688,2.169,0.1124,1.005,0.6931,-100.6
1,1.667,1.521,2.346,1.682,0.5844,0.7373,-106.1
1,1.685,2.371,2.91,1.192,0.2045,0.8297,-103.3
1,1.687,1.54,1.595,1.181,0.3934,0.7108,-104.8
1,1.825,1.006,1.577,2.542,0.7447,0.761,-102.5
1,1.896,2.073,5.326,1.512,0.106,0.7766,-96.6
1,1.708,1.439,1.093,2.653,0.01983,0.7148,-99.05
1,1.795,1.35,1.393,3.36,1.606,0.7979,-96.34
1,1.763,1.435,2.112,1.088,1.15,0.7363,-105.9
